episode,step,return,length
1034,353595,262.42,315
1035,353885,241.38,290
1036,354164,275.49,279
1037,354465,269.45,301
1038,354775,226.52,310
1039,355105,232.64,330
1040,355427,243.58,322
1041,355716,242.68,289
1042,356054,254.94,338
1043,356378,277.8,324
1044,356696,288.17,318
1045,356930,61.48,234
1046,357216,256.19,286
1047,357513,275.53,297
1048,357854,270.39,341
1049,358217,292.16,363
1050,358513,245.75,296
1051,358834,247.54,321
1052,359437,281.0,603
1053,359737,249.59,300
1054,360053,228.32,316
1055,360381,255.0,328
1056,360664,278.13,283
1057,360937,277.45,273
1058,361255,263.63,318
1059,361563,276.25,308
1060,361894,246.26,331
1061,362223,269.06,329
1062,362525,286.0,302
1063,362850,258.85,325
1064,363161,243.06,311
1065,363481,270.39,320
1066,363771,272.68,290
1067,364055,276.82,284
1068,364332,238.51,277
1069,364627,247.42,295
1070,365005,282.8,378
1071,365291,277.96,286
1072,365573,239.05,282
1073,365882,223.05,309
1074,366198,253.43,316
1075,366510,233.56,312
1076,367510,149.71,1000
1077,367786,241.33,276
1078,368087,274.82,301
1079,368391,249.46,304
1080,368704,268.27,313
1081,369036,284.85,332
1082,369331,259.57,295
1083,369645,265.72,314
1084,369947,281.64,302
1085,370260,290.7,313
1086,370569,251.09,309
1087,370868,275.1,299
1088,371165,232.53,297
1089,371442,259.98,277
1090,371727,255.96,285
1091,372042,237.89,315
1092,372259,32.05,217
1093,372542,274.82,283
1094,372870,285.01,328
1095,373210,246.09,340
1096,373550,282.74,340
1097,373869,258.61,319
1098,374144,252.33,275
1099,374471,255.81,327
1100,374794,226.52,323
1101,375062,268.98,268
1102,375368,301.07,306
1103,375648,243.4,280
1104,375950,266.83,302
1105,376238,268.12,288
1106,376461,23.48,223
1107,376772,275.82,311
1108,377101,249.62,329
1109,377388,297.89,287
1110,377666,270.12,278
1111,377973,256.61,307
1112,378266,286.85,293
1113,378515,39.32,249
1114,378826,274.86,311
1115,379102,226.13,276
1116,379391,239.35,289
1117,379680,245.83,289
1118,380035,275.69,355
1119,380354,232.8,319
1120,380667,257.25,313
1121,381667,165.87,1000
1122,381944,264.3,277
1123,382268,232.41,324
1124,382507,59.26,239
1125,382845,262.45,338
1126,383073,17.21,228
1127,383345,262.67,272
1128,383636,227.14,291
1129,383983,221.46,347
1130,384261,280.13,278
1131,384559,270.75,298
1132,384919,286.29,360
1133,385218,247.17,299
1134,385553,277.15,335
1135,385829,226.78,276
1136,386130,246.65,301
1137,386371,47.08,241
1138,386671,270.1,300
1139,386947,234.95,276
1140,387199,241.45,252
1141,387568,302.23,369
1142,387860,275.56,292
1143,388137,233.85,277
1144,388427,226.52,290
1145,388694,270.14,267
1146,389015,290.43,321
1147,389269,46.97,254
1148,390269,150.65,1000
1149,390563,239.67,294
1150,390836,275.24,273
1151,391077,58.39,241
1152,391396,267.87,319
1153,391680,238.9,284
1154,391878,28.21,198
1155,392153,272.53,275
1156,392432,58.75,279
1157,392689,263.6,257
1158,392924,47.68,235
1159,393398,226.59,474
1160,393673,249.43,275
1161,393931,63.31,258
1162,394248,256.53,317
1163,394506,-8.36,258
1164,394802,272.78,296
1165,395039,62.19,237
1166,395272,-2.73,233
1167,395614,237.85,342
1168,395893,243.76,279
1169,396193,259.74,300
1170,396503,281.65,310
1171,396775,254.43,272
1172,397088,255.16,313
1173,397385,245.34,297
1174,397671,276.14,286
1175,397936,282.04,265
1176,398213,260.44,277
1177,398487,247.77,274
1178,398759,269.1,272
1179,399050,255.01,291
1180,399318,239.64,268
1181,399629,291.34,311
1182,399908,271.13,279
1183,400224,293.31,316
1184,400498,275.49,274
1185,400831,282.02,333
1186,401099,254.87,268
1187,401361,272.28,262
1188,401645,249.17,284
1189,401928,249.69,283
1190,402260,251.03,332
1191,402697,206.95,437
1192,402974,259.04,277
1193,403258,266.08,284
1194,403568,285.87,310
1195,403860,256.64,292
1196,404143,275.86,283
1197,404443,223.95,300
1198,404744,267.94,301
1199,405032,255.06,288
1200,405360,258.92,328
1201,405606,26.67,246
1202,405844,9.59,238
1203,406130,295.44,286
1204,406440,279.65,310
